name,Technologie a internet dnes
category,Technologie
difficulty,medium
time_limit,12
question,answer_a,answer_b,answer_c,answer_d,correct
"Co znamená zkratka CPU?","Central Process Unit","Central Processing Unit","Computer Primary Unit","Core Processing Utility","B"
"Který protokol se běžně používá pro načítání webových stránek?","FTP","SSH","HTTP","SMTP","C"
"Jak se nazývá škodlivý software, který se tváří jako užitečný program?","Router","Trojan","Firewall","Patch","B"
"K čemu slouží operační paměť RAM?","K dlouhodobému uložení souborů","K dočasnému ukládání dat pro běžící programy","K napájení základní desky","K chlazení procesoru","B"
"Co je běžnou funkcí DNS?","Šifrování e-mailů","Převod doménových jmen na IP adresy","Komprese videa","Správa tiskárny","B"
"Který jazyk se standardně používá pro stylování webových stránek?","Python","HTML","CSS","SQL","C"
"Co je dvoufázové ověření?","Druh antiviru","Záloha databáze","Druhá verze hesla","Další vrstva přihlášení nad rámec hesla","D"
"Která firma vyvíjí operační systém Windows?","Apple","Microsoft","Google","Intel","B"
"Jak se nazývá úložiště kódu a historie změn v projektu?","Kompilátor","Framework","Repozitář","Emulátor","C"
"Co obvykle znamená ikona zámku vedle adresy webu?","Web je offline","Stránka používá zabezpečené spojení","Stránka nemá cookies","Web je jen pro adminy","B"
"Který příkaz v Gitu stáhne změny ze vzdáleného repozitáře bez automatického sloučení?","git push","git merge","git fetch","git clone","C"
